miRNA.x	miRNA.y	both	count	log2FoldChange	pvalue	overlap
mmu-miR-140-5p	mmu-miR-21a-5p	1	9	2.511031833	2.88E-06	0.111111111
mmu-miR-181a-5p	mmu-miR-181b-5p	15	15	-2.086078137	1.35E-09	1
mmu-miR-181a-5p	mmu-miR-181d-5p	15	15	-2.086078137	1.35E-09	1
mmu-miR-181a-5p	mmu-miR-21a-5p	6	15	-2.086078137	1.35E-09	0.4
mmu-miR-181a-5p	mmu-miR-27b-3p	5	15	-2.086078137	1.35E-09	0.333333333
mmu-miR-181a-5p	mmu-miR-140-5p	4	15	-2.086078137	1.35E-09	0.266666667
mmu-miR-181a-5p	mmu-miR-23a-3p	2	15	-2.086078137	1.35E-09	0.133333333
mmu-miR-181a-5p	mmu-miR-218-5p	1	15	-2.086078137	1.35E-09	0.066666667
mmu-miR-181a-5p	mmu-miR-99a-5p	1	15	-2.086078137	1.35E-09	0.066666667
mmu-miR-181b-5p	mmu-miR-181d-5p	15	15	-2.517062213	8.75E-12	1
mmu-miR-181b-5p	mmu-miR-21a-5p	6	15	-2.517062213	8.75E-12	0.4
mmu-miR-181b-5p	mmu-miR-27b-3p	5	15	-2.517062213	8.75E-12	0.333333333
mmu-miR-181b-5p	mmu-miR-140-5p	4	15	-2.517062213	8.75E-12	0.266666667
mmu-miR-181b-5p	mmu-miR-23a-3p	2	15	-2.517062213	8.75E-12	0.133333333
mmu-miR-181b-5p	mmu-miR-99a-5p	1	15	-2.517062213	8.75E-12	0.066666667
mmu-miR-181b-5p	mmu-miR-218-5p	1	15	-2.517062213	8.75E-12	0.066666667
mmu-miR-181d-5p	mmu-miR-21a-5p	6	15	-2.178176036	3.73E-05	0.4
mmu-miR-181d-5p	mmu-miR-27b-3p	5	15	-2.178176036	3.73E-05	0.333333333
mmu-miR-181d-5p	mmu-miR-140-5p	4	15	-2.178176036	3.73E-05	0.266666667
mmu-miR-181d-5p	mmu-miR-23a-3p	2	15	-2.178176036	3.73E-05	0.133333333
mmu-miR-181d-5p	mmu-miR-99a-5p	1	15	-2.178176036	3.73E-05	0.066666667
mmu-miR-181d-5p	mmu-miR-218-5p	1	15	-2.178176036	3.73E-05	0.066666667
mmu-miR-218-5p	mmu-miR-196b-5p	1	5	-3.037785328	0.000594794	0.2
mmu-miR-21a-5p	mmu-miR-99a-5p	1	7	2.024910824	0.000223706	0.142857143
mmu-miR-23a-3p	mmu-miR-27b-3p	3	14	1.003665659	0.005634866	0.214285714
mmu-miR-23a-3p	mmu-miR-140-5p	2	14	1.003665659	0.005634866	0.142857143
mmu-miR-23a-3p	mmu-miR-21a-5p	2	14	1.003665659	0.005634866	0.142857143
mmu-miR-23a-3p	mmu-miR-409-3p	1	14	1.003665659	0.005634866	0.071428571
mmu-miR-23a-3p	mmu-miR-218-5p	1	14	1.003665659	0.005634866	0.071428571
mmu-miR-27b-3p	mmu-miR-21a-5p	3	12	1.195941132	3.36E-05	0.25
mmu-miR-27b-3p	mmu-miR-218-5p	3	12	1.195941132	3.36E-05	0.25
mmu-miR-27b-3p	mmu-miR-149-5p	1	12	1.195941132	3.36E-05	0.083333333
mmu-miR-27b-3p	mmu-miR-99a-5p	1	12	1.195941132	3.36E-05	0.083333333
mmu-miR-27b-3p	mmu-miR-140-5p	1	12	1.195941132	3.36E-05	0.083333333
