#miRNA	read_count	precursor	total	seq	seq(norm)
mmu-let-7a-5p	47.00	mmu-let-7a-1	47.00	47.00	14452.64
mmu-let-7a-1-3p	0.00	mmu-let-7a-1	0.00	0	0
mmu-let-7a-5p	47.00	mmu-let-7a-2	47.00	47.00	14452.64
mmu-let-7a-2-3p	0.00	mmu-let-7a-2	0.00	0	0
mmu-let-7b-5p	58.00	mmu-let-7b	58.00	58.00	17835.18
mmu-let-7b-3p	0.00	mmu-let-7b	0.00	0	0
mmu-let-7c-5p	90.00	mmu-let-7c-1	90.00	90.00	27675.28
mmu-let-7c-1-3p	0.00	mmu-let-7c-1	0.00	0	0
mmu-let-7c-5p	91.00	mmu-let-7c-2	91.00	91.00	27982.78
mmu-let-7c-2-3p	0.00	mmu-let-7c-2	0.00	0	0
mmu-let-7d-5p	89.00	mmu-let-7d	89.00	89.00	27367.77
mmu-let-7d-3p	0.00	mmu-let-7d	0.00	0	0
mmu-let-7e-5p	9.00	mmu-let-7e	9.00	9.00	2767.53
mmu-let-7e-3p	0.00	mmu-let-7e	0.00	0	0
mmu-let-7f-5p	67.00	mmu-let-7f-1	67.00	67.00	20602.71
mmu-let-7f-1-3p	0.00	mmu-let-7f-1	0.00	0	0
mmu-let-7f-5p	68.00	mmu-let-7f-2	68.00	68.00	20910.21
mmu-let-7f-2-3p	0.00	mmu-let-7f-2	0.00	0	0
mmu-let-7g-5p	16.00	mmu-let-7g	16.00	16.00	4920.05
mmu-let-7g-3p	0.00	mmu-let-7g	0.00	0	0
mmu-let-7i-5p	174.00	mmu-let-7i	174.00	174.00	53505.54
mmu-let-7i-3p	0.00	mmu-let-7i	0.00	0	0
mmu-let-7j	2.00	mmu-let-7j	2.00	2.00	615.01
mmu-let-7k	0.00	mmu-let-7k	0.00	0	0
mmu-miR-100-5p	0.00	mmu-mir-100	0.00	0	0
mmu-miR-100-3p	0.00	mmu-mir-100	0.00	0	0
mmu-miR-101a-5p	0.00	mmu-mir-101a	0.00	0	0
mmu-miR-101a-3p	8.00	mmu-mir-101a	8.00	8.00	2460.02
mmu-miR-101b-5p	0.00	mmu-mir-101b	0.00	0	0
mmu-miR-101b-3p	0.00	mmu-mir-101b	0.00	0	0
mmu-miR-101c	0.00	mmu-mir-101c	0.00	0	0
mmu-miR-103-1-5p	0.00	mmu-mir-103-1	0.00	0	0
mmu-miR-103-3p	24.00	mmu-mir-103-1	24.00	24.00	7380.07
mmu-miR-103-3p	24.00	mmu-mir-103-2	24.00	24.00	7380.07
mmu-miR-103-2-5p	0.00	mmu-mir-103-2	0.00	0	0
mmu-miR-105	0.00	mmu-mir-105	0.00	0	0
mmu-miR-106a-5p	0.00	mmu-mir-106a	0.00	0	0
mmu-miR-106a-3p	0.00	mmu-mir-106a	0.00	0	0
mmu-miR-106b-5p	0.00	mmu-mir-106b	0.00	0	0
mmu-miR-106b-3p	0.00	mmu-mir-106b	0.00	0	0
mmu-miR-107-5p	0.00	mmu-mir-107	0.00	0	0
mmu-miR-107-3p	0.00	mmu-mir-107	0.00	0	0
mmu-miR-10a-5p	0.00	mmu-mir-10a	0.00	0	0
mmu-miR-10a-3p	0.00	mmu-mir-10a	0.00	0	0
