	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
mmu-miR-140-3p	940.3903886437	3.40382518176504	0.341109984631525	9.97867355141167	1.88976102117376e-23	3.04251524408975e-21	up
mmu-miR-181b-5p	58.8465748129215	-2.51706221299569	0.368762211712366	-6.82570538154542	8.74943276704299e-12	7.04329337746961e-10	down
mmu-miR-181a-5p	178.291726010661	-2.08607813711844	0.344163413707503	-6.06130127152722	1.35024645614407e-09	7.24632264797315e-08	down
mmu-miR-409-3p	3.80875848366113	4.01781755099687	0.791934479311332	5.07342167307929	3.90725346591724e-07	1.57266952003169e-05	up
mmu-miR-99a-5p	34.1306032500192	1.50014150259107	0.304284357471365	4.93006448000614	8.22024802503067e-07	2.64691986405988e-05	up
mmu-miR-140-5p	10.815655117541	2.51103183349191	0.536634971311883	4.67921765768139	2.87971613256579e-06	7.72723828905154e-05	up
mmu-miR-3473a	2.09239050868516	-3.58779754430609	0.842808290589021	-4.25695568537734	2.07229411483801e-05	0.000476627646412742	down
mmu-miR-27b-3p	36.6894505769428	1.19594113204901	0.288331633865906	4.14779715986769	3.35689608268175e-05	0.000668129167602411	up
mmu-miR-181d-5p	1.94918627226556	-2.17817603645975	0.528260825081155	-4.12329654792236	3.73488354560354e-05	0.000668129167602411	down
mmu-miR-5119	3.29413286003516	-2.04822492726279	0.534910238310457	-3.82910025003862	0.000128612611536901	0.0020706630457441	down
mmu-miR-21a-5p	17.6116222823358	2.02491082359673	0.548663787799545	3.69062232395139	0.00022370607860419	0.00327424351411587	up
mmu-miR-181a-1-3p	2.88367118892353	-1.83965629473082	0.51589554347558	-3.56594725036213	0.000362544295132553	0.00486413595969508	down
mmu-miR-196b-5p	4.45763590111497	-2.10072152412457	0.595692563662762	-3.52651963826403	0.000421059937414522	0.00521466537874908	down
mmu-miR-218-5p	0.836553537922916	-3.03778532821763	0.884625901675233	-3.43397737107281	0.000594793848765359	0.00684012926080163	down
mmu-miR-149-5p	4.75802530408077	-2.60592502195336	0.789111388052483	-3.30235383927832	0.000958770405150673	0.0102908023486172	down
mmu-miR-3470b	3.12506596625301	-2.49043425096685	0.881325222830837	-2.82578347521647	0.0047165134098812	0.0446681564112278	down
mmu-miR-23a-3p	12.5659353326866	1.00366565879341	0.362555996313826	2.76830522456632	0.00563486558850919	0.0477480715657884	up
