miRNA	Gene		context_score	weighted_score
mmu-miR-140-5p	ENSG00000001629	ANKIB1	0.155	0.155
mmu-miR-140-5p	ENSG00000006451	RALA	0.485	0.231
mmu-miR-140-5p	ENSG00000011198	ABHD5	0.244	0.013
mmu-miR-140-5p	ENSG00000013375	PGM3	0.098	0.077
mmu-miR-140-5p	ENSG00000014216	CAPN1	0.419	0.419
mmu-miR-140-5p	ENSG00000015479	MATR3	0.137	0.13
mmu-miR-140-5p	ENSG00000034677	RNF19A	0.365	0.365
mmu-miR-140-5p	ENSG00000035403	VCL	0.14	0.013
mmu-miR-140-5p	ENSG00000036257	CUL3	0.287	0.004
mmu-miR-140-5p	ENSG00000038382	TRIO	0.169	0.169
mmu-miR-140-5p	ENSG00000047346	ATOSA	0.278	0.278
mmu-miR-140-5p	ENSG00000048405	ZNF800	0.417	0.417
mmu-miR-140-5p	ENSG00000048740	CELF2	0.22	0.22
mmu-miR-140-5p	ENSG00000061273	HDAC7	0.359	0.323
mmu-miR-140-5p	ENSG00000065491	TBC1D22B	0.081	0.081
mmu-miR-140-5p	ENSG00000067082	KLF6	0.344	0.344
mmu-miR-140-5p	ENSG00000068024	HDAC4	0.144	0.117
mmu-miR-140-5p	ENSG00000069275	NUCKS1	0.252	0.071
mmu-miR-140-5p	ENSG00000070269	TMEM260	0.48	0.48
mmu-miR-140-5p	ENSG00000070614	NDST1	0.039	0.039
mmu-miR-140-5p	ENSG00000071537	SEL1L	0.142	0.133
mmu-miR-140-5p	ENSG00000077063	CTTNBP2	0.162	0.162
mmu-miR-140-5p	ENSG00000077097	TOP2B	0.337	0.082
mmu-miR-140-5p	ENSG00000079156	OSBPL6	0.212	0.158
mmu-miR-140-5p	ENSG00000079819	EPB41L2	0.427	0.425
mmu-miR-140-5p	ENSG00000080561	MID2	0.107	0.084
mmu-miR-140-5p	ENSG00000080603	SRCAP	0.389	0.389
mmu-miR-140-5p	ENSG00000081087	OSTM1	0.425	0.384
mmu-miR-140-5p	ENSG00000082146	STRADB	0.238	0.238
mmu-miR-140-5p	ENSG00000083444	PLOD1	0.166	0.166
mmu-miR-140-5p	ENSG00000084676	NCOA1	0.181	0.181
mmu-miR-140-5p	ENSG00000085276	MECOM	0.174	0.167
mmu-miR-140-5p	ENSG00000085741	WNT11	0.48	0.48
mmu-miR-140-5p	ENSG00000085998	POMGNT1	0.12	0.12
mmu-miR-140-5p	ENSG00000087095	NLK	0.587	0.172
mmu-miR-140-5p	ENSG00000088826	SMOX	0.512	0.512
mmu-miR-140-5p	ENSG00000092964	DPYSL2	0.269	0.257
mmu-miR-140-5p	ENSG00000096746	HNRNPH3	0.342	0.15
mmu-miR-140-5p	ENSG00000100241	SBF1	0.196	0.196
mmu-miR-140-5p	ENSG00000100345	MYH9	0.065	0.001
mmu-miR-140-5p	ENSG00000100413	POLR3H	0.02	0.02
mmu-miR-140-5p	ENSG00000100626	GALNT16	0.367	0.367
mmu-miR-140-5p	ENSG00000100647	SUSD6	0.101	0.097
mmu-miR-140-5p	ENSG00000101384	JAG1	0.216	0.207
mmu-miR-140-5p	ENSG00000102678	FGF9	0.649	0.649
mmu-miR-140-5p	ENSG00000102870	ZNF629	0.08	0.08
mmu-miR-140-5p	ENSG00000102908	NFAT5	0.03	0.012
mmu-miR-140-5p	ENSG00000102974	CTCF	0.178	0.178
mmu-miR-140-5p	ENSG00000103275	UBE2I	0.301	0.005
mmu-miR-140-5p	ENSG00000103888	CEMIP	0.094	0.094
mmu-miR-140-5p	ENSG00000104067	TJP1	0.163	0.061
mmu-miR-140-5p	ENSG00000105245	NUMBL	0.468	0.468
mmu-miR-140-5p	ENSG00000106025	TSPAN12	0.541	0.527
mmu-miR-140-5p	ENSG00000106571	GLI3	0.176	0.167
mmu-miR-140-5p	ENSG00000106789	CORO2A	0.628	0.474
mmu-miR-140-5p	ENSG00000106799	TGFBR1	0.236	0.229
mmu-miR-140-5p	ENSG00000106952	TNFSF8	0.592	0.592
mmu-miR-140-5p	ENSG00000107036	RIC1	0.138	0.138
mmu-miR-140-5p	ENSG00000107105	ELAVL2	0.438	0.399
mmu-miR-140-5p	ENSG00000108018	SORCS1	0.178	0.178
mmu-miR-140-5p	ENSG00000108262	GIT1	0.214	0.151
mmu-miR-140-5p	ENSG00000108510	MED13	0.313	0.193
mmu-miR-140-5p	ENSG00000108852	MPP2	0.095	0.086
mmu-miR-140-5p	ENSG00000108932	SLC16A6	0.446	0.446
mmu-miR-140-5p	ENSG00000108960	MMD	0.558	0.554
mmu-miR-140-5p	ENSG00000109819	PPARGC1A	0.202	0.202
mmu-miR-140-5p	ENSG00000110321	EIF4G2	0.265	0.265
mmu-miR-140-5p	ENSG00000111540	RAB5B	0.168	0.056
mmu-miR-140-5p	ENSG00000112208	BAG2	0.451	0.451
mmu-miR-140-5p	ENSG00000112419	PHACTR2	0.168	0.142
mmu-miR-140-5p	ENSG00000112715	VEGFA	0.392	0.382
mmu-miR-140-5p	ENSG00000112742	TTK	0.323	0.323
mmu-miR-140-5p	ENSG00000112773	TENT5A	0.151	0.151
mmu-miR-140-5p	ENSG00000112851	ERBIN	0.161	0.161
mmu-miR-140-5p	ENSG00000113368	LMNB1	0.237	0.22
mmu-miR-140-5p	ENSG00000113389	NPR3	0.326	0.107
